Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__D-7.png,M06__D-7_1_7735,,Tissue,Polygon,811.06,1668.2,0.6973,445.0139,78.2089,0.9143,1.0,29.3685,18.7239,0.0715,0.0651,-0.0061,0.223,0.0387,0.1357,0.1337,0.0509,0.2727,0.0404,6,40.906,43.8874,55.7302,23.3936,631.9371,1105.8713,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.88330424,Tumor
M06__D-7.png,M06__D-7_1_4041,,Tissue,Polygon,3385.9,49.3,0.6972,337.8914,74.4904,0.7652,0.9853,31.1713,14.1938,0.1569,0.1403,0.0221,0.3942,0.0709,0.1653,0.1599,0.0135,0.3188,0.061,8,53.4549,35.0803,119.2272,20.7837,940.4281,2356.4436,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.92075074,Tumor
M06__D-7.png,M06__D-7_1_1965,,Tissue,Polygon,2700.7,1155.8,0.6972,84.8669,33.6632,0.9411,1.0,12.0001,9.6176,0.1173,0.1225,0.0137,0.1849,0.035,0.123,0.1178,0.0695,0.2161,0.0347,6,44.9853,45.0924,77.6042,15.4215,682.715,1077.9728,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.5481104,Others
M06__D-7.png,M06__D-7_1_2969,,Tissue,Polygon,3878.9,445.58,0.6972,392.155,81.3207,0.7452,0.8619,26.9535,21.252,0.1205,0.1179,0.0087,0.2656,0.0454,0.2263,0.227,0.1311,0.3763,0.0401,5,40.3719,40.6898,52.2349,26.5162,656.5825,1057.5172,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.9970132,Tumor
M06__D-7.png,M06__D-7_1_1143,,Tissue,Polygon,4868.9,4035.3,0.6971,112.2251,42.9663,0.7639,0.989,17.7797,7.5636,0.3712,0.3004,0.0242,0.9883,0.2195,0.394,0.2609,0.0582,1.6511,0.3966,7,52.2853,52.7177,72.0797,34.0991,1012.4006,1699.3632,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.94040066,Lymphocyte
M06__D-7.png,M06__D-7_1_5004,,Tissue,Polygon,2821.0,5070.1,0.697,498.7522,80.1999,0.9744,1.0,26.9917,24.3801,0.0778,0.0729,-0.0016,0.2316,0.0334,0.0995,0.0946,0.0201,0.2341,0.0418,6,36.0121,38.6262,48.2119,18.7651,476.6185,921.2032,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.98260176,Tumor
M06__D-7.png,M06__D-7_1_4785,,Tissue,Polygon,5467.2,5322.3,0.697,151.1319,51.8166,0.7073,0.9518,21.2691,9.3437,0.2939,0.2695,0.0688,0.7297,0.1156,0.2368,0.1724,0.0457,1.4423,0.1723,5,23.0844,22.2445,40.4908,13.0771,189.1751,386.8624,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.57985085,Others
M06__D-7.png,M06__D-7_1_1268,,Tissue,Polygon,2371.7,1645.4,0.697,381.6886,71.1016,0.9488,1.0,26.2901,18.8038,0.0832,0.0751,-0.0038,0.4065,0.0548,0.1273,0.1117,0.0205,0.3802,0.0576,6,43.6159,42.1371,79.2609,22.9214,439.3226,902.192,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.97508913,Tumor
M06__D-7.png,M06__D-7_1_3013,,Tissue,Polygon,2730.2,1164.0,0.697,69.2015,30.2433,0.9508,1.0,10.3323,9.1822,0.1469,0.137,0.0591,0.266,0.0496,0.1395,0.1633,-0.0096,0.2747,0.0844,6,48.5459,31.5783,94.5964,18.2646,1070.7208,3473.9297,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.55564696,Others
M06__D-7.png,M06__D-7_1_5265,,Tissue,Polygon,123.68,2426.3,0.6969,475.2376,80.9282,0.9118,0.9963,29.1951,21.0426,0.0819,0.0797,-0.0008,0.2403,0.0311,0.0938,0.0906,0.0088,0.1712,0.03,6,47.8481,48.9045,65.6606,27.6905,752.8312,1230.8632,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.8215258,Tumor
M06__D-7.png,M06__D-7_1_7481,,Tissue,Polygon,5014.9,1595.2,0.6966,324.8241,68.1743,0.8782,1.0,26.532,16.2375,0.0688,0.0647,-0.0129,0.2215,0.0381,0.0981,0.0949,0.0047,0.1882,0.0305,9,62.2252,49.8457,109.1428,16.5644,932.5111,2792.4541,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.49239185,Others
M06__D-7.png,M06__D-7_1_7717,,Tissue,Polygon,3915.7,4079.4,0.6965,143.3725,50.9564,0.6939,0.9827,21.8126,7.9525,0.2409,0.2411,0.0323,0.4607,0.0824,0.2905,0.2867,0.1076,0.5456,0.0818,5,49.8639,42.289,83.2663,16.3717,1116.8436,2770.8665,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.9999962,Neutrophil
M06__D-7.png,M06__D-7_1_2891,,Tissue,Polygon,4351.5,4047.4,0.6964,123.6415,42.9664,0.8416,0.9903,16.3343,10.0786,0.1591,0.1508,0.0412,0.3288,0.0598,0.1704,0.1542,0.0705,0.4073,0.0724,4,31.4226,30.719,39.0221,25.2303,397.8332,454.8397,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.7975548,Lymphocyte
M06__D-7.png,M06__D-7_1_7164,,Tissue,Polygon,4080.5,291.18,0.6964,462.3791,90.5803,0.7082,0.9749,38.1467,14.587,0.2061,0.1674,0.0625,0.7584,0.1033,0.4698,0.47,0.1069,1.6744,0.1119,6,90.5301,77.4423,174.92,22.6898,1227.9087,3250.7473,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.998765,Tumor
M06__D-7.png,M06__D-7_1_3772,,Tissue,Polygon,1330.5,1497.7,0.6964,76.9566,36.1695,0.7392,1.0,15.5662,6.3746,0.215,0.2041,0.0483,0.4224,0.0902,0.2313,0.2359,0.0297,0.548,0.1217,3,21.27,15.3564,38.4648,9.9888,169.5682,292.6104,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.50068057,Others
M06__D-7.png,M06__D-7_1_5056,,Tissue,Polygon,1646.6,3851.8,0.6963,80.8985,35.1711,0.8218,1.0,14.4244,7.3529,0.2,0.2061,0.0549,0.3478,0.0677,0.1202,0.1263,0.0284,0.2059,0.0456,6,36.3012,35.7013,50.2811,22.0864,526.284,940.7424,0.6517,231.007,54.7188,0.8292,0.9779,20.8973,12.8118,0.1757,0.1635,0.027,0.4383,0.0835,0.1937,0.18,0.0381,0.5065,0.0897,5.9913,62.0329,55.6432,112.8205,25.8201,1728.2941,4914.3848,8259,0.7481789,Others
