Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__E-7.png,M06__E-7_1_409,,Tissue,Polygon,1256.3,5553.9,0.4571,34.1281,22.798,0.8251,0.9898,8.7858,5.3517,0.1671,0.1669,0.0258,0.2647,0.0561,0.2151,0.2264,0.0402,0.3368,0.0854,7,64.0386,56.3606,83.0622,42.4983,978.477,1890.3182,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.9999213,Neutrophil
M06__E-7.png,M06__E-7_1_1315,,Tissue,Polygon,1977.1,1424.4,0.4571,60.1691,31.1227,0.7806,1.0,13.1406,6.3143,0.1725,0.1631,0.0585,0.3854,0.0685,0.1643,0.1742,-0.0007,0.2906,0.0673,7,81.8568,88.9818,125.9011,30.4163,2313.0654,4851.9077,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.6305087,Others
M06__E-7.png,M06__E-7_1_1141,,Tissue,Polygon,852.21,993.06,0.4569,68.9624,35.2976,0.6956,0.9505,14.325,6.99,0.1793,0.1785,0.0947,0.261,0.0351,0.1444,0.1446,0.0534,0.1974,0.0375,7,84.6945,70.5382,163.6328,13.5202,3247.9541,9786.6221,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.99999976,Neutrophil
M06__E-7.png,M06__E-7_1_237,,Tissue,Polygon,2851.6,1399.8,0.4568,162.4077,58.0257,0.6061,0.8862,21.4693,10.4201,0.1074,0.1016,0.0467,0.2004,0.0344,0.1139,0.1111,0.0513,0.2012,0.034,5,62.003,49.3818,109.567,15.7301,1353.5287,2501.6421,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,1.0,Neutrophil
M06__E-7.png,M06__E-7_1_742,,Tissue,Polygon,2872.9,2586.1,0.4568,105.4268,40.9944,0.7883,1.0,16.995,8.0356,0.1741,0.139,0.0182,0.9094,0.1465,0.0882,0.0643,-0.009,0.5492,0.0867,6,57.8549,51.0431,121.3561,22.7526,1298.3651,2820.3696,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.9907442,Neutrophil
M06__E-7.png,M06__E-7_1_3819,,Tissue,Polygon,2718.5,1466.7,0.456,27.0871,19.1352,0.9296,1.0,6.5579,5.5321,0.3415,0.2616,0.0473,0.8931,0.2187,0.2989,0.1525,-0.0437,1.2296,0.3367,6,51.3342,51.8969,82.7127,20.3933,983.1678,1967.0051,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.73950493,Others
M06__E-7.png,M06__E-7_1_4635,,Tissue,Polygon,3195.1,4419.1,0.4559,150.8245,58.0919,0.5616,0.7546,20.3078,14.5021,0.1161,0.091,0.0177,0.4128,0.075,0.1428,0.1276,0.07,0.3839,0.0561,5,39.3744,39.493,63.5287,17.2488,571.4055,1565.8711,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.99999976,Neutrophil
M06__E-7.png,M06__E-7_1_1590,,Tissue,Polygon,4167.4,2152.8,0.4553,195.9234,51.159,0.9407,0.9889,17.7563,14.6758,0.1311,0.1117,0.0402,0.2938,0.0617,0.2233,0.2237,0.1305,0.358,0.0462,5,34.8469,44.4062,57.0085,11.9432,630.1957,1316.312,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.6686822,Others
M06__E-7.png,M06__E-7_1_4504,,Tissue,Polygon,5595.1,4397.7,0.4553,99.7856,36.5945,0.9364,1.0,12.5697,10.615,0.1196,0.1172,0.057,0.2028,0.0304,0.1017,0.0868,-0.0056,0.2579,0.0661,9,294.2682,152.7389,1748.0453,12.8378,8462.167,72430.5781,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.99998045,Neutrophil
M06__E-7.png,M06__E-7_1_5861,,Tissue,Polygon,494.87,3735.8,0.4553,265.1208,63.1469,0.8355,1.0,25.74,13.1129,0.0976,0.1022,0.0089,0.2616,0.0435,0.0628,0.0605,0.0013,0.1889,0.022,7,111.8253,110.4766,223.1834,26.5828,5391.0659,18603.041,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.9606372,Neutrophil
