Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__H-3.png,M06__H-3_1_5152,,Tissue,Polygon,2411.9,5061.4,0.7197,116.6671,47.1003,0.6609,0.9803,20.4966,7.3711,0.6773,0.607,0.0524,2.1598,0.3908,0.3603,0.3098,-0.0523,1.4838,0.3057,3,28.6291,26.0662,38.1318,21.6894,346.7336,449.3369,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.999982,Neutrophil
M06__H-3.png,M06__H-3_1_4309,,Tissue,Polygon,4301.1,1880.5,0.7197,249.1455,60.2611,0.8622,0.9948,23.6737,13.45,0.3025,0.2783,0.0455,0.6533,0.1432,0.5392,0.5674,0.1689,1.2937,0.1883,5,45.9874,42.5205,63.5046,39.6467,866.6318,1069.8772,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.8418252,Lymphocyte
M06__H-3.png,M06__H-3_1_7671,,Tissue,Polygon,4298.0,1982.1,0.7197,190.542,62.328,0.6164,0.9674,27.3731,8.8041,0.286,0.2941,0.0891,0.4824,0.0773,0.2026,0.1974,0.0713,0.3587,0.0474,6,55.8302,46.4581,104.8615,26.0811,1325.8735,2737.363,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,1.0,Neutrophil
M06__H-3.png,M06__H-3_1_8031,,Tissue,Polygon,6266.2,5100.0,0.7196,104.0667,39.6698,0.831,1.0,16.1003,8.7266,0.3049,0.2641,0.1075,0.7899,0.1438,0.114,0.0964,0.0086,0.3807,0.0772,6,36.046,32.0828,65.5847,17.9906,569.5092,1337.0941,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.9955989,Lymphocyte
M06__H-3.png,M06__H-3_1_5478,,Tissue,Polygon,5908.9,4364.5,0.7196,180.3558,51.2167,0.864,1.0,20.2031,11.5315,0.1777,0.1724,0.0083,0.3695,0.0724,0.1608,0.1564,0.02,0.3255,0.0699,5,83.7256,36.4104,285.427,22.4322,1731.0812,4945.0015,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.60237014,Others
M06__H-3.png,M06__H-3_1_4429,,Tissue,Polygon,6044.5,5059.2,0.7195,144.168,48.8852,0.7581,0.9915,20.2006,9.2277,0.3258,0.3135,0.1323,0.5173,0.0863,0.1746,0.1719,0.0737,0.2832,0.0512,5,42.8417,42.311,61.0182,23.9581,704.4658,1098.9674,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.523346,Others
M06__H-3.png,M06__H-3_1_1392,,Tissue,Polygon,5403.9,274.22,0.7195,226.6068,68.6346,0.6045,0.9708,30.0587,9.3349,0.5124,0.5395,0.0859,0.9922,0.1922,0.5398,0.4697,0.0261,1.7107,0.286,4,36.4886,38.4004,53.4799,15.6739,627.6964,1193.3374,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,1.0,Neutrophil
M06__H-3.png,M06__H-3_1_3525,,Tissue,Polygon,961.56,4025.0,0.7195,143.2771,46.1471,0.8455,1.0,18.4915,10.7496,0.3648,0.3713,0.0924,0.5406,0.0799,0.3229,0.3296,0.0524,0.6325,0.1161,7,39.453,33.4686,66.2218,10.7846,564.7681,1715.2856,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.99707675,Lymphocyte
M06__H-3.png,M06__H-3_1_7942,,Tissue,Polygon,4626.3,1598.9,0.7195,210.5743,58.43,0.7751,0.9682,23.0157,12.3185,0.1954,0.1992,0.0692,0.3116,0.0509,0.1516,0.1457,0.0929,0.254,0.0326,8,97.706,92.1056,153.871,50.6771,3022.6509,6450.5459,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.83279514,Lymphocyte
M06__H-3.png,M06__H-3_1_3006,,Tissue,Polygon,315.43,4139.7,0.7195,279.422,61.9238,0.9157,1.0,22.375,16.7473,0.3536,0.3579,-0.0025,0.6474,0.1512,0.8185,0.6826,0.3032,1.8863,0.3755,5,37.1834,34.0234,64.0509,23.0933,589.0585,1067.1865,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.95007956,Lymphocyte
