Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__G-1.png,M06__G-1_1_2661,,Tissue,Polygon,2744.9,4868.6,0.5749,121.6632,44.0869,0.7866,1.0,18.2833,8.3992,0.1278,0.1178,0.0439,0.2662,0.0512,0.2594,0.2497,0.1594,0.3597,0.0458,5,22.4877,26.945,31.5685,9.83,162.8553,262.6857,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.96470857,Lymphocyte
M06__G-1.png,M06__G-1_1_1440,,Tissue,Polygon,2884.6,2164.9,0.5748,79.9043,44.3525,0.5104,0.8162,17.0698,7.1983,0.1662,0.1646,0.1089,0.2476,0.0284,0.0326,0.0291,0.007,0.0798,0.0141,6,48.1697,45.3038,71.9258,24.2554,931.4611,1582.91,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,1.0,Neutrophil
M06__G-1.png,M06__G-1_1_3092,,Tissue,Polygon,12.27,2162.9,0.5748,40.5186,29.8972,0.5696,0.8766,12.3843,5.6048,0.1272,0.1255,0.0528,0.1774,0.0334,0.0154,0.0185,-0.0075,0.0317,0.0091,6,580.4025,35.7645,3346.366,11.2319,2938.708,10043.4082,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.9717988,Neutrophil
M06__G-1.png,M06__G-1_1_3463,,Tissue,Polygon,3166.9,2413.6,0.5747,87.3889,42.2552,0.615,0.9671,18.7294,5.8318,0.1114,0.1134,0.0543,0.1553,0.0211,0.0342,0.0347,0.0101,0.0518,0.0085,5,48.7111,61.558,83.6361,11.5943,596.4523,993.3952,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.9737568,Neutrophil
M06__G-1.png,M06__G-1_1_3473,,Tissue,Polygon,4305.4,2487.7,0.5745,452.5954,120.448,0.392,0.6727,34.7714,26.1683,0.1266,0.1274,0.066,0.1927,0.0251,0.0367,0.0364,0.0035,0.0833,0.0157,7,75.6163,35.924,182.4582,19.5625,3120.0125,11012.5625,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,1.0,Tumor
M06__G-1.png,M06__G-1_1_1285,,Tissue,Polygon,5114.0,1446.9,0.5745,279.0366,63.0746,0.8814,1.0,24.2266,14.6666,0.1097,0.1101,0.0737,0.1504,0.0151,0.0304,0.0308,0.0024,0.0579,0.012,8,58.4585,44.0933,144.8239,28.3503,1534.5293,5052.0566,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.5636799,Others
M06__G-1.png,M06__G-1_1_677,,Tissue,Polygon,4304.4,3029.6,0.5744,70.9223,32.5153,0.843,0.9767,12.2603,7.8466,0.5465,0.4185,0.1562,1.8112,0.3812,0.1539,0.0956,-0.0314,1.0659,0.1652,7,95.4572,47.0059,180.3693,37.5122,2811.3203,7956.4639,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.9989042,Neutrophil
M06__G-1.png,M06__G-1_1_2756,,Tissue,Polygon,2498.1,1703.0,0.5744,110.4556,40.3297,0.8534,1.0,16.09,9.0048,0.0896,0.0842,0.0536,0.1436,0.0198,0.0211,0.0209,-0.0098,0.0503,0.0116,6,53.1198,52.7372,91.424,25.312,1016.5773,2847.0957,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.99750865,Lymphocyte
M06__G-1.png,M06__G-1_1_1790,,Tissue,Polygon,4823.4,1620.4,0.5742,116.7557,40.4713,0.8958,1.0,15.5405,9.7242,0.1172,0.116,0.0743,0.1562,0.0157,0.0235,0.0229,-0.0006,0.0546,0.0111,8,68.3556,81.3875,102.9266,18.6738,1380.5276,4415.9585,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.98879844,Lymphocyte
M06__G-1.png,M06__G-1_1_3424,,Tissue,Polygon,3851.6,504.15,0.5742,148.4485,51.721,0.6974,0.9931,22.3627,8.3666,0.0989,0.0965,0.0395,0.1459,0.0224,0.0502,0.0511,0.0046,0.0838,0.0156,5,49.1676,55.5073,63.2034,18.9571,636.2234,1562.9816,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,1.0,Neutrophil
M06__G-1.png,M06__G-1_1_3011,,Tissue,Polygon,2343.7,1184.8,0.5742,508.2501,85.0255,0.8835,1.0,33.4194,19.9244,0.078,0.0795,0.0328,0.1247,0.0188,0.0266,0.0263,0.0032,0.049,0.0079,7,61.2129,64.5194,76.6081,35.6209,1307.713,2361.6812,0.6335,236.6053,57.9237,0.7871,0.9602,22.3886,12.795,0.1449,0.1417,0.0656,0.2457,0.0377,0.0408,0.0397,-0.0007,0.0933,0.0186,5.9878,67.0694,61.2606,120.9984,26.5503,2052.5608,5737.7119,5754,0.81702214,Tumor
